,Rating,Title,Review,Review_Date
122,4.0,An Awesome Product in budget.,It is an all-in-one printer having duplex printout so like it very much. Moreover Canon onsite service facility is quite good enough to use it now and for my own requirement in future. Along with it is light weight easy to carry out.,6 December 2019
123,4.0,O ko k OK,OK OK OK o k o k,28 March 2021
124,5.0,Satisfied product,It's  very nice printer.there are many facilities in it.it helps when there is any problem in printer by giving one code .and if you search this code in google your problem will be solved.ex.my papers were trapped in the printer then the printer gave me code 5100 and when I searched this code I solved this problem.this facility impressed me.the printing quality is also very good.we can use this printer wireless so buy it,21 July 2020
125,1.0,"4 prints and 10 scans , one year later its piece of garbage","The media could not be loaded.
                



 used it for one week and ive put it away.This week (after 10 months) ive tried to print few documents. got new cartridges as the old ones are dried out, once i start printing im getting all smudges, ive tried all troubleshooting steps. cleaned nozzles, did deep cleaning and who has time for this ? all we need is a quick print. this is a very bad product. Waste of time and money",10 February 2022
126,5.0,Very nice,Working with this printer is greate,9 February 2022
127,4.0,Good printer,Overall good printer go for it,2 April 2021
128,3.0,Good for small office and home use..,Print quality is good for black and white print.. Colour print quality is not good as expected... Colour catridge is draining too fast..Printer is noisy too.. At this price range its good..,14 November 2020
129,3.0,Printer thirst is very high wrt to cartridge. Cost per printing each paper is very high.,Printer build quality and print quality are good. Very easy to install and easy to access it trough app.But cartridges will not print more than 200 pages and refill cost 1600 for each set replacement.,23 September 2020
130,1.0,They probably used it for printing birthday cards before sending to me,"I ordered it on 5 Jan received on 7 Feb. It was a used and defective product. As you can see open cartridge, finger prints on scanner, dirt all over the printer, scrambled mannual, leaking cartridge, multiple taping on the box to look like brand new, broken thermocol, just look at the packing of cables does it look new? And the cartridge slot was defective and wouldn't move a bit. At first I was told for the replacement and the pickup guy refused to replace and was asking it to be in New condition. What the hell? You have me used and asking me to provide new, what kind of scam is this. Then after so many complaints over call then also they were not giving the refund. But fortunately I spoke to one guy who helped me with the refund. Guys this was my experience with the seller ""appario"" something. The printer I was waiting for months have me a hard time.",7 March 2021
131,4.0,Print review,"Print quality is good,easy to install,wifi printing takes a little longer .Will give a feedback after few weeks of usage",5 October 2020
132,5.0,Good,😊,3 March 2022
133,5.0,Best Product,Colour print 80%Black print 100%,9 February 2022
134,4.0,Good Product,Good product. Takes time to print for first time but print quality is good. Double side printing available. Easily accessible via my IPhone .,4 August 2020
135,5.0,Value for Money All in one printer,"Well, this is a good quality all in one printer from a reputed brand for a very good reasonable price, print quality is very good, you can also print your photos, it just take some time to print depending upon the content of printing, it is highly recommended for home and small offices where daily requirements is very less like 25-30 pages a day as it doesn't print like a speed of laser printer",19 June 2020
136,1.0,Cheap build quality,Amazon has become the waste company that it’s not knowing what product the seller is stocking up in its platform. The product which I received is a faulty product with the power socket coming out and the printer cover/scanning cover was about to detach and fall out. Such a cheap product with cheap plastic components and cheap build quality felt like the product original parts were altered with duplicate ones.2) Not all face the same issue but pleas do make sure not to buy these type of items from Amazon. Since I got no option of refund I had to replace the product with the same one and no option to chose a different one.,12 October 2021
137,3.0,ADF Scan issue. Beware!! All Printers.,There's a ADF Scan issue as seen in the picture. Consulted with Canon Manager and executives. They accepted that this issue is there in this model and other models with ADF. So if you are planning to buy ADF then I suggest not to buy Canon. As its starts with small issues and eventually gives rise to bigger issues.,4 October 2019
138,4.0,Nice product for less cost with all features,Printer is good and printer body is wight lessBoth side ADF not able to enable.,11 December 2020
139,3.0,Low output of printing cartridge,"Main issue I feel is for printing output, Cartridge printing output is very low approx 20  pages coloured and 70 pages for black ,I think it's not up to mark as told",9 September 2020
140,3.0,Great all in one printer,As a product this one has all the requisite features which is why I bought this all in one printer however just that the print quality ain't exceptional..,14 November 2020
141,4.0,Paper jamm,The printer at this cost is worth a buy and the money spent is worth it....but paper gets frequently jammed which is a hectic problem ...and takes some doing to remove one....if this is corrected than its an awesome product.,4 November 2019
142,5.0,Printer exceeded expectations,"I like this printer. Specially duplex printing and document feeder is excellent.After using duplex page scanning,it's exceed my expectations.My printing volume is not large but may be cartridge cost is concern.I hv gone thru some videos on youtube which shows how to refill at home.",15 June 2021
143,3.0,Poor build quality,The product felt very weak and fragile while I was un-boxing it.  Rest every this looks fine and is good for home usage. It comes with USB and a LAN cable and also connects with WiFi so connectivity isn't an issue here. It would have been good if the printer came with a storage facility for the printed documents until the whole printing is done.,29 May 2019
144,3.0,Mediocre at best !!,Prints fast and easy to configure. However the quality of plastic is a turn off. Not for heavyduty print jobs. Also looks like the ink is depleting very fast. I have printed about 15 pages so far in economy mode and 20% is gone already. Buy it if you want to print a few pages occasionally.,11 October 2019
145,3.0,Less no of prints per cartridge,Print quantity per cartridge is very low wrt data shown by manufacturer.,13 April 2021
146,4.0,Good choice,"Easy to install, the print quality and speed were good too. We can easily connect the smart phone to the printer. Just follow the CD manual and its a breeze. The double sided print is very convenient and can save paper",22 September 2019
147,4.0,BEst for photoprint . Best printer in this range,Best for photoprint .,23 March 2021
148,4.0,Good product worth buying,This is a good product worth buying especially in the current situation when children are having online classes,12 October 2020
149,2.0,"Ink cartridge are of very life, interns of number of prints..... It's not economical",Print quality goodButInk cartridge are not economical,4 January 2022
150,5.0,Overall Very good product.,I am writing this review after use of 10 Days. Printer is good. ADF works very well. Printing from internet is also works. Duplexer is also very good. Print speed for black & white is about 5 sec. Till now I have taken around 60 pages and cartridge is showing 75 % filled. Only minor issue is with Print colors. Black is not black it's grey and color printing red is like orange.,30 May 2020
151,5.0,Easy to install and use,,10 February 2022
152,1.0,Traveled back in time by buying this printer,"I've been using hp 4530 for the past 5-6 years. Needed a new printer so decided to get canon e4270 since that hp series was not available anymore. The quality of printing is very poor and slow. The worst is the desktop utility. Very minimal features to manage. Overall, very disappointed.",28 February 2022
153,3.0,Not easy to install and connectivity with phone WiFi or Bluetooth,"Print quality not bad but I expect more qualityNot easy to install windows old version and phone connectivity time is take too long,Printer screen is not shown all details",27 July 2020
154,3.0,Budget printer,"Printing is slow,wifi connection is hectic, not for bunch print,  I have to manage with LAN port for bunch print,features are average, recommend for slight below budget buyer",14 August 2020
155,5.0,Satisfactory,It's a very nice printer for your own use. Easy to install. Good to print less number of pages but if you want to print pages in bulk than go for another printer as it consumes much more ink.,5 July 2021
156,4.0,Printing slow,"Nice in 7,999 rps. but very slow",11 February 2021
157,5.0,I need to exchange another printer,I need to change another printer,15 January 2022
158,3.0,Disappointed from Canon,Firstly the print quality is not that great which wasn't expected. Installation is a bit hectic because it comes with a CD-ROM for installation. Wireless Printing performed well and also it prints fast enough. Built quality is okay.,6 March 2020
159,5.0,Cost effective and easy to use,"Hassel free wifi set up. Print quality is acceptable. Auto doc. feeder/Scanner works like charm.Only issue i found was during bulk scanning it starts getting slow,after 50 pages or so (scanned around 200 pages back to back) .mobile and ipad applications are good and very easy to use.compact design due to front feeding of papers and front ouput",17 August 2020
160,5.0,The best printer for home use,New Canon PIXMA Ink Efficient E4270 boasts powerful All-rounded performance with impressive cost savings.Pros:Automatic Document FeederAutomatic printing on both sidesHassle free wireless printing/scanningCanon apps (Selphy & PhotoPrint editor)Borderless printing for photosCompact sizeLow cost cartridgesFax functionality is a plusQuality of all the features/functionalities is superbCons:None yetThis is the best in class product with all the features for home use at an affordable price range. Just go for it.- Praveen,20 March 2019
161,5.0,Best product ever pruchased in life.,Best product ever pruchased in life.,11 January 2022
162,4.0,Happy with product,Good quality printing,9 March 2021
163,4.0,Good quality print,First set up took little longer. Easy to print and good for home.,14 November 2020
164,4.0,Good product in the range with auto duplex printing.,"Value for money, even though installation is time consuming. Need to adjust the print head settings to get perfect print.",3 July 2020
165,1.0,bad quality,not a easy install use,6 July 2022
166,4.0,Good printer,"Must buy. With this price range, this is a very good printer.",4 November 2020
167,5.0,"Value for money, not canon quality.",It is a good product by Canon. Multiple features and wireless connection are very efficient and make the printer easy to use.Two things I did not like. 1- the display screen is very small and there is no backlight.2. The plastic is light and feels cheap and flimsy. Something which I did not expect from a canon product.,22 July 2020
168,4.0,very nice,"Outstanding printer in this price segment, anyone can buy this withought any hesitation.",19 October 2020
169,1.0,Defective piece,Colour printer does not work & a defective piece,21 June 2022
170,1.0,very poor performance,printing quality is bad.. print is blurr,26 June 2022
171,4.0,quality of product is good,the only drawback is taking time to connect with wifi,28 November 2020
172,4.0,Poor,Hlo,14 March 2021
173,5.0,Value for money dose the job,Good all in one product . Happy with the ourput of the product.,1 December 2021
174,3.0,Ok Product at range of 7k drink cartridges like anything,Does the job but suck hell of cartridges literally i earned hardly 1k on 1 cartridges,6 December 2020
175,5.0,Dont think twice...its a good investment.,"Its a super convenient & sturdy printer...no cable required 😃😃😃Connects like a dream with your mobiles, laptop or even your desktop...print quality is good...cant comment on the economy yet as its been only 2-3 weeks since i brought it...i am still running on complimentary inks...has all possible features at a very affordable price point...Just go for it!!",11 July 2020
176,2.0,Good Product but Looks defective. Replacement will work out.,"The media could not be loaded.
                



 I don’t want to spoil Name of Canon and Amazon. Product delivered early and condition is good . There is problem with top cover which is very shaky and will breakdown soon if I continue using it also power connector is very loose. I have attached video for your reference and guide. Thank you Amazon for quick delivery and I am awaiting replacement delivery.",18 June 2020
177,1.0,Too much ink usage...cannot print more than 40 pages with Black Ink.,"I purchased it for official purposes but it cannot print more than 40 pages with Black Cartridge and I have to purchase cartridge every week. I lodged a complaint with Canon and their engineer also confirmed it cannot print beyond it. So, selling this junk now.",24 February 2022
178,4.0,Cd not supported,Cd not supported for my PC? What to do,30 November 2020
179,4.0,Superb economical printer,Printer is superb but d print quality if we compair wid laser then its dull.....otherwise the printer is superb cost efficient n economical....,8 March 2020
180,4.0,Nice Product,It’s a good printer with duplex at decent price,22 November 2020
181,4.0,Good product,Bought the product keeping primarily for printing labels and stickers.Found lots of smudges while printing bar codes.Prints great when I print the regular things (color or black & white),17 October 2019
182,4.0,Canon E4270 review,Printer is very good in all the aspects excepts printing color copy which takes little bit time. Scanning and copying works well too.,3 March 2020
183,3.0,Product ok but service very poor,Product ok but service very poor in salem district,12 March 2021
184,1.0,Don't buy at amazon,I bought this printer on 16th January and printed 5 color pages and 50 black and white pages  but now it shows low color ink. Is it a joke. Are they giving old cartridge. I am very unhappy with the product. Now return window is closed otherwise I could have returned it.,27 January 2022
185,1.0,Bad,Bal,11 July 2022
186,4.0,Worth buying this best printer,Best buy and economical too. Easy installation and quality printing. Happy with a features in this price range.,23 May 2020
187,4.0,nice product,very good product color ink Cartridge very low.,27 November 2020
188,1.0,Really really expensive per page,"Writing a review after a few months of usage. The quality of print is good, connects quickly to the wireless network, and the app is also a good addition to have. However, the print cost per page is extremely expensive. The cartridge promises 400 pages but it hardly churns our 200 in black and white. For colour, I have printed less than 20 a4 (no photos , only text documents with some colour text) and the cartridge is already down to 50%. Please avoid buying this and go for either a Samsung or a HP which gives you more bang for the buck.For an inkjet, this gives the same number of pages as would any sub-3000 printer would give. So no point spending extra on the initial costs.",10 January 2021
189,4.0,Ok,Easy with wifi,25 January 2021
190,2.0,Too many issues within 6-months it purchasing,"It has not even been a year and I have had to call technicians many times to fix paper jams and other errors. We used out old printer for 10 years before this one and didn’t have to call the technicians to fix it, the number of times we had to call them for this one. I don’t know if it’s just this product or the entire range is like this. Also, this makes so many noises when you start it, it’s almost unhealthy for a printer.",21 January 2020
191,4.0,excellent printer for small office and home jobs,An excellent multi purpose printer which can be of good utility for small office/home jobs,5 July 2020
192,4.0,Cost effective,Printer is good but. It's sounds more for taking prints,12 October 2020
193,5.0,Value for money.,"Very compact for home use.It does not have a space to store Papers. Every time you want to print, you have to stack required papers in the tray. Considering the compactness of the printer, this was to be expected.It can print on both sides of paper, automatically. However for scanning or copying, I was not able to use properly; meaning I had to feed both sides of the paper manually.",1 October 2019
194,4.0,Nice budget printer for minimum usage,"Nice printer, occupying 1/3 rd of the table space, but built good and looks fine.Review the same after some time ...",19 January 2020
195,4.0,Perfect for home use,Perfect for home use,27 December 2020
196,5.0,Perfect for School and small Office,Does the Job well. Would drink up ink. Colour is like 100 Pages. Monochrome around 300. I wanted Auto Duplex and ADF which works seamless.At this price not a bad deal.,16 June 2021
197,4.0,One ink cartridge are empty received,Printer are good but 1 ink cartridge is empty received,9 September 2020
198,2.0,Not worth the price and pathetic support,Not so good product. The product issues started within one month of usage and issues doesnt get resolved.,19 September 2021
199,4.0,Good product,Nice printer for home,2 January 2021
200,5.0,All in One solution for Home and Home-Office,"Yes, jack of all trades, and very surprisingly, master of almost all. Apart from the voracious nature of ink consumption while printing Rich Colour pictures, it's a great buy. Completely worth it, and Wonderful Seller! They delivered it within 20 Hrs. even when you are in a Containment Zone.",7 August 2020
201,1.0,Wifi doesn’t work,Wifi doesn’t work,27 June 2022
202,2.0,Cannon Prevailing Master Piece!,"Product durability less than opposition MLA's in Delhi assembly, After sales replacement is like ""ACHE DIN"" which never turns up. I request several time to Cannon Indian handler always like ""Aisi Machine Dunga aap paper daloge currency print hokar aaayegi"" again stereotypical promise. Stop buying this product.",8 January 2021
203,5.0,Nice printer,"Very good, seamlessly working product. Nice printing copying quality",20 November 2021
204,4.0,Excellent product,Worth to buy the product that price wise very compititive with other same printer with all these functions.. Wifi printer and duplex printing. Rgds Dalbir Singh,28 October 2019
205,1.0,"YOY WILL REGRETE ,just read for a min only .","Used for 3 months, I can assure you will regret to have bought this product.Look at pics i have uploaded,There many reason but i would enumerate only afew :1 The AC power adopter got moisture and get burn itself .Its ok if it is one time replece . One. Can.manage but this is recurring phenomena .2 if moisture is not enough to , there is PCB design of adapter . Look at pics only a simple pin connect the power jack with pcb if you press it a bit hard , it will crack  and adapter become useless no power supply .You have to buy adapter if available during this pandamic.4The problem is cartridge is too small not even 15 pages a day you can print without replacing it in every 15 daysI REPEATE YOU WILL REGRETE TO HAVE BIUHT THIS CRAP.",30 May 2020
206,1.0,Really not a good bying experience,"The after sells support from both AMAZON and CANON, Cannt even connect my Mobile, not at all Easy to use,.  No product intro/installation provided by AMAZON/SELLER.  Really not a good bying experience",15 March 2022
207,5.0,Good Printer,Pros:1. Easy to install using manual provided2. Print quality is good3. Color and B/w scanning both options available4. Mobile scanning and print options available5. Less noisy than HP printersCons:1. Scanning takes a little bit longer time2. Built quality needs improvement,5 August 2020
208,4.0,Good wroth buying it,Good wroth buying it,6 December 2020
209,5.0,Good everyday printer for a decent purchase price and per page cost,"My usage is about 100-200 pages a month (home use only). About 60% of that is b/w photocopy of pages from my daughter's text books (need a copy coz for junior classes, the books stay at school).Haven't tried photo quality printing, but regular printing is fast and good quality.Setup was quick too.The only downside is that the phone app is not so intuitive.",5 October 2019
210,2.0,"ADF is useless, go for expensive printers.","ADF is of no use, paper gets jam every time I tried. The speed of ADF very slow, it is much faster to scan /copy document one by one.Build quality is very delecate, feels like it will break very easily.Not a printer to buy for kids, or if you want buy it for ADF function.",5 July 2020
211,4.0,It's good product,Using wireless we can take print out. Print quality also good. Only thing is it was made up of very light plastic.,21 December 2019
212,5.0,"Best Price, Multiple usage, Go for it.",I had open my canon printer after a month.This is exactly what I wanted for home use and the functions are great and it was very easy to install.Please follow the guide book before installation which helped a lot.,30 November 2020
213,1.0,Bad quality,Very bad quality build .,15 June 2022
214,5.0,Home use and loving it,"Easy to operate and its been 1 year now and for the 1st time i need to replace the ink. Best part is when there is a paper jam it is so easy to take out. I xerox, scan and print. Especially more handy during this time when we receive all documents on phone. I just print it and keep a copy. Just love it.",3 October 2019
215,1.0,Bad products,Bad product no company shopte dot no buy,31 May 2022
216,5.0,Fantastic printer,"After using one week, I found this printer value for moneyBest part, being WIFi enabled, completely manageable via smartphone",7 August 2021
217,1.0,Received unsealed and empty cartridges in the packages,Received empty and unsealed cartridge in the packages,30 May 2022
218,4.0,Good,Good,12 January 2021
219,5.0,Easy installation and usage. Good for school kids,"Easy to install. Pairing with mobile for wireless printing was also easy. Good print quality. Ink (cartridge) is a little expensive, but it's worth it considering the print quality.",4 June 2021
220,1.0,Very poor quality,"This product is only cartridge, many time paper stuck in printer and it's product is not returnable.",12 April 2022
221,4.0,Good deal,"Good product ,was delivered in good condition promptly.Slow printing applicable for home use.",2 March 2020
222,4.0,Not reached to expectations & Color Ink problems,Printing errors every time & moreover we can't get ink for colour cartridge CL-57,6 March 2020
223,5.0,One of the good printers.,"It is very easy to configure and use. Given the features, it is value for money spent on it.",26 July 2021
224,5.0,Nice product,All in one product.. can be operated from app too .. excellent product,1 September 2021
225,2.0,Received used one and even damage shipping,"The media could not be loaded.
                



 Used item I can find finger print inside all the side and even shipping also damage..",17 August 2021
226,5.0,Amazing Canon Experience,This is my first time trying Canon. Printer reached my expectation but the only thing I don't understand is why the photos printing is not so sharp. Overall good printing experience.,23 February 2021
227,1.0,Don't Waste your money for this Printer,I have write this review after 12 days using the printer. My suggestion is don't purchase this model printer. It was consuming more ink.Like one cartige cost around Rs-600/- only 60 to 70 pages black & White print can done. If your looking for any business purposes it wasn't not suitable. So for business go for other models.  PRINT QUALITY IS SUPER but not ink iffecient as per the specifications mentioned.,14 August 2021
228,3.0,Good,It is good in print quality.but the cartridge is too much of cost,8 July 2020
229,4.0,Good features under this price range,Difficult to understand without manual. Although a good product with useful features under this price range.,12 January 2020
230,1.0,"Constant paper jam, non existent customer service","The 2-3 times it has allowed me to print without tearing my hair out in frustration has been bliss. The rest of the time,  the paper jams so frequently, that its easier for me to go to a print store to print.  At this point, my brand new 'all in one' printer is laying in the corner, acting as a dust receptacle. And all of the customer service numbers in India are currently not in service. Absolutely pathetic.",19 May 2021
231,3.0,Used up ink provided,Colour ink with this printer lasted only till 4 printouts,23 August 2020
232,4.0,Canon printer,I like this product 👌,6 August 2020
233,4.0,Super,"The media could not be loaded.
                



 Good product",3 December 2020
234,4.0,Good product,Product  is  good,31 July 2020
235,5.0,Awesome printer!,"Though writing this within weeks time, I have taken abt 50 Normal prints And 2 photo prints of A4 size and 6 photo prints of 4x6 size. Print quality is really very very good.Operating this is very easy because of WiFi set up.",7 June 2020
236,4.0,Good,Inka quality should improve,9 August 2020
237,1.0,Not good,Less print outs as motioned in product details,15 May 2022
238,3.0,It prints lightly,It prints lightly,2 December 2020
239,3.0,Fairly good,It doesn't do 2-sided printing. The rest is fairly good,20 July 2020
240,3.0,Print quality is low and no clear print,Low quality printer,12 November 2020
241,4.0,Great,Good print quality,23 August 2020
242,4.0,Good,Good one,21 September 2020
243,5.0,Best Printer in the category!,"Overall a superb printer at this price range. Auto document feeder, duplex printing & duplex scanning are excellent for this price which no one else’s providing. Great supportive Canon app for printing via mobile or laptop with the help of WiFi. Great printer!",20 June 2020
244,5.0,Home use all in one,"Good for home use,not great for photo printing",17 September 2021
245,2.0,Poor Product Don't Buy Canon Printer,"I purchased this product a few days back and experience a very bad customer service who is asking for charges for setup and installation, even charges are there for any complaint resolution. Then what is the point to give service within the warranty period. I suggested the printer buyer not purchase the Canon product as they have poor customer service and every time they will charge.",9 November 2019
246,5.0,Great product,This equipment is pretty awesome. Easy to install but needs a little getting used to to work. Lot of options and a proper all in all.,5 April 2021
247,5.0,good duplex printer,"good duplex printer.scanning via feeder is not double sided thoughconnectivity is very good, easily connects after starting upsetup was also very straight forward.",9 April 2021
248,5.0,"best printer under 10,000",very good printer just go for it,20 September 2021
249,4.0,Catridge showing 50%,"After printing 4-5 pages, color catridge showing 50% which is unexpected.",1 March 2020
250,4.0,Wow super i am like this printer..,Canon ... Installation my home not coming.....3 day before I am shopping...My Mobile No : 8778566525,25 October 2019
251,1.0,i found defective product,,1 June 2022
252,5.0,So far so good!,It's only been few days and I have checked most of the functions. This is perfect for a home. I haven't found a problem yet.,27 February 2021
253,1.0,Worst Printer Ever,"Print cost is too high, ink expensive & finish off too early.. black & white cost more than 6 rs per page.. takes lot of time in printing & start up.. better invest more - go for ink jet or ink tank printer..Photo print quality is too bad, very light in printing colors.. not recommended after usage of one year but there is no option as already bought & can't change",24 April 2021
254,4.0,A},BestBut ink use fast,23 May 2020
255,3.0,Power cable not in the box,Power cable was missing in this pacat,10 July 2020
256,4.0,"Good product, normal household perpous use only","Print quality nice , but full page print setup is not working properly, remaining is all good",30 September 2019
257,3.0,Ok,Not much friendly. Often reports paper not loaded. Have to try multiple times to get rid of this error,19 December 2019
258,5.0,A MUST deal to steal,A wonderful product. Serves the purpose promptly.Loved it totally. Worth the price.,24 July 2021
259,1.0,"Waste of money, cartridge printer are useless ... Don't buy . Go for ink tank printer","Waste of money, cartridge printer are useless ... Don't buy . Go for ink tank printer",19 March 2022
260,5.0,Nice and budget printer,Nice and Budget printer,24 September 2021
261,5.0,Worth the money,The best printer considering  the features and price range. It's easy to install and the instructions are detailed and useful. Please note the print quality differs with paper quality. Best addition to my home office now.,14 July 2020
262,3.0,Verest item,Very poor quality,26 August 2020
263,1.0,Not connecting to laptop / very hard to install,"The printer can connect to phones but is not connecting to laptops. Half of the time, it is not even detected (even when plugged with USB). Since this is purchased via Amazon, Canon doesn’t take any responsibility for replacing or returning the product. Their engineers were not able to fix the problem.",7 October 2021
264,1.0,Unfaithful & Worts Customercare experience,"I didn’t get any accessories in the package. I received printer ONLY. No cable, no cartridge, no installation CD and no user guide. And when I raise a complaint with in the 7 days replacement/refund period.. the customer service guy told me that, I’ll receive call on 30 August.. but, I didn’t get any calls.",6 September 2021
265,4.0,Good Quality,Good Quality,12 July 2020
266,4.0,Printer,Good,18 August 2020
267,5.0,Good buy,Really easy to install and start printing,16 August 2021
268,4.0,Value for money,"Value for money, easy setup and operation.",28 February 2020
269,4.0,Good,It is easy to install and function,29 February 2020
270,5.0,"Need printer for home, can go for this , easy accessibility","Canon we all know the brand, so no need to think more about it, all over performance is good",11 April 2021
271,5.0,Color cartilage is finishing very soon in just 10prints,It is a very good printer with all functions but only 10 pages of color cartilage then the color cartilage is finished per. Cartilage is 660 rupees it is not for budget persons even I kept this printer in my store room because I don't have money to buy this,7 October 2019
272,5.0,Fast and safe dilevery,Printing is good and oprate easy,6 August 2021
273,4.0,Canon printer e4270,Awesome print quality but cartilage price are high.,28 December 2019
274,4.0,good for home use,print quality is fine and set up is so easy...scanning is good...,14 October 2019
275,5.0,Lives upto its expectations,Pros:-Easy to installQuality of print goodSpeed of print goodCons:-The paper tray is delicate to touch and the material used seems brittle.,27 November 2020
276,1.0,Very bad quantity,Bad quality,18 May 2022
277,1.0,Waste of money ....it wouldn't work properly from first day,Worse product .... malfunctioning every time,21 April 2022
278,5.0,Very useful gadget,Easy to use,6 September 2021
279,3.0,Refund required,Printer maintance is high so I want refund help me.more time cartridge change faced,18 December 2019
280,2.0,Poor Service,"Nobody came up for installation, No demo given.Cartridge quality was low of both  black as well as coloured. Only 200 B&W prints, and Max 30 coloured prints. Don't ever go for this product.",28 July 2020
281,2.0,Not a good printer. Please do not buy this.,"Quantity of ink provided in initial tanks is very less. Only 20-25 prints (both - B/W & Color) and the ink ran out. Technician says the tanks are of low quantity and asked us to upgrade to bigger tanks.Further, wireless printing is a pain. Despite being on same WiFi network.",26 November 2019
282,5.0,Value for money and good quality,"Apps are simple to use, good set of features. Definitely worth the price tage",4 May 2021
283,5.0,Totally worth printer,Great printer for this price.,28 July 2021
284,1.0,Very Bad/ West of money,"This is very bad product because one cartge with maximum page only 150. Highly charged/page. I am requesting to Amazon please don't sell like this product, & if possible please help me for replacement. 300to400 page print with one cartge is showing in demo video. Cartge not available in local market. I will not take any product through Amazon.",23 March 2021
285,5.0,GOOD,GOOD,8 September 2021
286,3.0,Printer.,The printer is good. But Printer quality is incorrect and ink bad,24 November 2019
287,4.0,Canon printer,So good but ink required so much...,4 November 2019
288,5.0,Very Good Printer with all features,"With all features at lower prices, this is best. Havent tried to print photos but other printing is good. ADF scanning is very smooth. Noise level is less",1 August 2020
289,1.0,Mahanga cartilage ka hona,Yah gharelu upayog ke liye thik hai.par agar iska upyog dukan me aamdani keliye karna chahate hai tobekar sabit hoga uska karan iske kartilage ka kam panno me printing karna hai or satha hi cartilage ka adhik mahanga hona.isliye bhul se bhi cartilage vala printing machines na kharide.,20 July 2021
290,1.0,poor print quality and even poorer cartridge life,"printing is poor and already looks faded. black and color prints are really BAAD! Brand new ink cartridge. HP print quality is WAY ahead! I now need to see the longevity of the ink. Ink got over already and hardly I printed 1/4th the number of copies as my HP deskjet. While the printer is quite modern with many automated facilities that HP doesn't have, it loses all its advantages to two things:1) print quality2) ink longevity, which translates to very costly print.Overall impression: DON'T BUY THIS PRINTER",19 November 2019
291,2.0,Printing is not working,Printing is zigzag and no customer care guys are responding in Canon,17 April 2021
292,3.0,Easy to use,OK... the performance was good butTaking ink is more for Colour Prints,3 October 2019
293,3.0,Good Printer for home use,It require router to connect wireless . overall good printer,22 November 2019
294,1.0,No catariage available is not good,Catriage not available is not good,30 March 2022
295,1.0,Poor don't buy koi service k liy bhi nahi aata complain krny pr chor h sab,Bad very bad don't buy,5 April 2022
296,4.0,Value of Money,Good product,4 March 2020
297,5.0,Really Great Product :) Hatsoff to Canon.,Excellent print quality.Scanner quality is decent.Duplex printing.Auto Document Loader.Wifi connectivity.Fax facility available with a dedicated land-line connection.Value for money product.,3 August 2020
298,2.0,Ezy use,Ezy too use... But printing speed vey slow..... Inz become empty soon,2 April 2021
299,3.0,Quality lol,Wi fi lol,3 March 2020
300,4.0,Home+office use affordable prints,Easy to connect and print.,12 November 2019
301,1.0,Not good as reviewed,"I purchased this printer for home use but it didn't work as expected. Installation was okay but setting it up with WiFi was tricky. We had to invite some expert to install it and he also took time. Print quality was horrible. Didn't print properly, characters were broken and lines came in middle. Won't recommend this product.",31 January 2021
302,2.0,"Not worth for money, manyfeatures have been  given  just to hide the main paradigma","The major vital factor in an inkjet Printer is its ink efficiency, which is highly Poor ...My ink got used up just only in 1 month..even though I have printed not more than 150 pages maximum ..I will not suggest this printer to anyone .",21 November 2019
303,5.0,Amazing,Delivered on timeNicely packedGood print qualityBest price,4 April 2021
304,4.0,Good,Good,24 February 2020
305,5.0,Feature packed home printer,"Nice product for price range, compact, have features of wireless sharing, adf, scan and copy. Liked the quality of prints as well. 2 days delivery by Amazon.",19 June 2020
306,4.0,Good..,Nice purchase..,24 January 2020
307,5.0,Best for Home Office,Easy to install… Print quality is good.,14 May 2021
308,4.0,Good,Best printer for this price..,6 November 2019
309,4.0,It is good,It is good product to buy for small offices and home..,13 June 2019
310,5.0,Awesome Product Canon 4270,"Canon E4270 is awesome product. Easy to install and easy to connect through Wifi from Laptop, Mobile.",5 December 2020
311,1.0,"Highly sensitive,Qukly get unfit cannot repair self",Print highly costs,6 April 2022
312,3.0,Best,Wi-fi is not working and slow print,31 October 2019
313,4.0,Build quality is poor,Print quality is great 👌👌👌...,3 November 2019
314,4.0,VGood,I like this product,10 November 2019
315,1.0,This is a local wifi printer works with in wifi range,"Not a network printer, work with in local wifi range",18 February 2022
316,4.0,Value for 💰,Exceptional product within budget . Good for home use,22 June 2019
317,5.0,Ideal printer for moderate use,Ink efficient printing in draft mode.Installation process was little bit hectic.Facilities are really good in this price range1. Mobile printing.2. Duplex printing.3. Ink Cartridges are economical.,1 March 2020
318,5.0,Printer is fantastic but courier facility is worst,Don't ship our product with this courier...😡 & don't buy the printer not giving proper print,30 November 2020
319,4.0,Looks like a good one,Just started using this,10 November 2019
320,1.0,Worthless,Don't buy this product i m very disappointedWith it,10 February 2022
321,4.0,Costly,Costly print,12 December 2019
322,5.0,Good printer,"Very good printer .i have been using it around one month.Good printer,scanner and copier",24 November 2020
323,5.0,Nice printer,"Great value of money. O e of the best ink cartridge printer with all possible features for home use, home office use.",15 July 2020
324,1.0,Duplicate product,Print quality is not good,12 March 2022
325,4.0,Good,Very good,5 December 2019
326,5.0,Best Printer Experience,Everything about this printer is amazing! Especially for such a lower price it offers a wide range of printing services. But the printer is slow at taking printouts. Other than that it is a must to have for all!,5 September 2019
327,4.0,Excellent,Very good product,6 November 2019
328,1.0,Worst printer,Worst printer,30 March 2022
